Date,stocktotal,stockgasoline,stockdistilled,pricegasoline,pricedistilled,consgasoline,consdistilled,gdp
"Feb 28, 1997",203206,158137,106410,52962,52584,54453,22547,8402.1
"Mar 07, 1997",203693,159482,106030,52626,51660,51919,23471,8402.1
"Mar 14, 1997",199745,155084,102794,52332,51240,56875,25655,8402.1
"Mar 21, 1997",198774,153275,100213,52500,51240,54103,26096,8402.1
"Mar 28, 1997",196930,151171,97884,52332,51450,52444,25823,8402.1
"Apr 04, 1997",195697,150315,96847,52416,51114,56805,24955,8551.9
"Apr 11, 1997",195928,148689,98392,52248,51072,54537,22603,8551.9
"Apr 18, 1997",195927,149597,95728,52290,50862,55398,25529,8551.9
"Apr 25, 1997",196025,149644,94098,52080,50610,55454,24668,8551.9
"May 02, 1997",193561,148799,96765,51996,50610,57568,23387,8551.9
"May 09, 1997",198261,152961,96365,51996,50022,54355,24332,8551.9
"May 16, 1997",198672,153163,98787,52374,50022,57771,22869,8551.9
"May 23, 1997",199831,154449,102184,52710,50232,56616,22526,8551.9
"May 30, 1997",200728,154804,108039,52836,49980,57078,19894,8551.9
"Jun 06, 1997",203327,158406,110490,52542,49854,53130,22022,8551.9
"Jun 13, 1997",205177,160941,111731,52164,49224,56063,23737,8551.9
"Jun 20, 1997",205512,161467,113491,51744,48804,59899,23688,8551.9
"Jun 27, 1997",204006,160936,116230,51492,48426,57638,23653,8551.9
"Jul 04, 1997",203747,161194,116592,51324,48678,59423,24696,8691.8
"Jul 11, 1997",199751,157279,121445,51198,48384,60242,19733,8691.8
"Jul 18, 1997",197484,156079,120542,51324,48174,60165,25704,8691.8
"Jul 25, 1997",193695,152758,120642,51072,48090,60200,23751,8691.8
"Aug 01, 1997",190575,149948,122610,51954,48510,58030,22239,8691.8
"Aug 08, 1997",189078,148520,121988,53424,49056,57771,23877,8691.8
"Aug 15, 1997",186197,146788,124521,53508,49014,59773,21861,8691.8
"Aug 22, 1997",187035,147933,126255,54096,49098,55454,22274,8691.8
"Aug 29, 1997",185563,146216,128760,54054,48930,60865,23051,8691.8
"Sep 05, 1997",187167,148665,133859,54096,48846,56371,19257,8691.8
"Sep 12, 1997",189628,150058,133998,53802,48552,57505,23996,8691.8
"Sep 19, 1997",194289,153517,135500,53298,48468,54222,21574,8691.8
"Sep 26, 1997",195544,154139,135753,52710,48720,56980,24220,8691.8
"Oct 03, 1997",197648,156313,135746,52668,49350,58653,24325,8788.3
"Oct 10, 1997",196796,156142,136242,52416,49770,57547,23961,8788.3
"Oct 17, 1997",196969,155854,136910,51996,49770,58205,25438,8788.3
"Oct 24, 1997",197561,157077,135023,51576,49770,54187,25340,8788.3
"Oct 31, 1997",197629,155861,134273,51282,49896,58485,25193,8788.3
"Nov 07, 1997",196540,155817,135455,51324,49980,56175,23653,8788.3
"Nov 14, 1997",197638,156870,134252,50946,50190,54551,24920,8788.3
"Nov 21, 1997",196590,156934,133967,50694,50106,56301,25326,8788.3
"Nov 28, 1997",199440,158904,133161,50274,49938,53046,24619,8788.3
"Dec 05, 1997",198579,156701,135517,49854,49308,59059,24003,8788.3
"Dec 12, 1997",201916,159478,135548,49392,48804,55685,26264,8788.3
"Dec 19, 1997",201609,159350,133477,49014,48510,57057,27832,8788.3
"Dec 26, 1997",204930,161801,131063,48636,48300,57407,28616,8788.3
"Jan 02, 1998",210220,166619,136956,48216,48174,54824,18844,8889.7
"Jan 09, 1998",216176,171031,139236,47880,47292,53711,22897,8889.7
"Jan 16, 1998",217925,172446,136776,47418,46578,54453,26299,8889.7
"Jan 23, 1998",217464,170683,133652,46704,46032,55580,27818,8889.7
"Jan 30, 1998",217934,171419,131374,46536,45822,53690,26173,8889.7
"Feb 06, 1998",220625,172900,129556,46242,45570,53711,26572,8889.7
"Feb 13, 1998",218239,170863,128948,45570,45444,57407,24038,8889.7
"Feb 20, 1998",218785,170314,127045,45780,45318,56035,25578,8889.7
"Feb 27, 1998",219852,170920,126615,45150,45108,53634,24367,8889.7
"Mar 06, 1998",218013,168235,126572,44730,44772,54208,24570,8889.7
"Mar 13, 1998",214200,164353,124898,44310,44394,56721,25641,8889.7
"Mar 20, 1998",215334,164898,123577,43974,44058,54271,25025,8889.7
"Mar 27, 1998",214760,165233,121244,45234,44856,55972,27426,8889.7
"Apr 03, 1998",210823,160833,120571,45108,44814,62944,25900,8994.7
"Apr 10, 1998",210377,161681,122396,45024,44730,56217,21854,8994.7
"Apr 17, 1998",211207,162616,122439,45150,44730,58121,23996,8994.7
"Apr 24, 1998",212209,163269,121821,45612,44940,56826,25018,8994.7
"May 01, 1998",212269,163238,122520,45990,45024,57330,24136,8994.7
"May 08, 1998",216119,167282,124050,46578,45150,52521,21623,8994.7
"May 15, 1998",213223,166286,123259,46578,44898,59668,26250,8994.7
"May 22, 1998",215208,167047,126329,46536,44520,58359,22778,8994.7
"May 29, 1998",218181,169099,131370,46368,44226,57435,20678,8994.7
"Jun 05, 1998",219566,170866,130454,46746,43890,58184,25746,8994.7
"Jun 12, 1998",220053,172483,131231,46368,43680,56721,23562,8994.7
"Jun 19, 1998",222740,174440,131957,46032,43386,57120,24927,8994.7
"Jun 26, 1998",222381,175082,131676,46032,43428,60508,26705,8994.7
"Jul 03, 1998",218243,171341,133695,46074,43512,61285,23240,9146.5
"Jul 10, 1998",221489,174122,135707,45864,43302,57638,23240,9146.5
"Jul 17, 1998",218840,173779,140135,46074,43134,61243,21308,9146.5
"Jul 24, 1998",219060,172871,143345,45696,42840,56875,22617,9146.5
"Jul 31, 1998",215752,169290,144032,45234,42672,62979,25382,9146.5
"Aug 07, 1998",212407,167122,144002,45024,42420,58219,24402,9146.5
"Aug 14, 1998",210064,164441,144831,44730,42294,62867,23765,9146.5
"Aug 21, 1998",208848,164842,144930,44436,42168,58016,25242,9146.5
"Aug 28, 1998",209179,165283,143647,44226,42000,60249,26691,9146.5
"Sep 04, 1998",207008,163203,144689,43932,42378,60991,22757,9146.5
"Sep 11, 1998",205691,160886,148689,43764,42798,61054,22057,9146.5
"Sep 18, 1998",208649,163641,149684,44226,43260,55111,23548,9146.5
"Sep 25, 1998",207493,162362,152563,44226,43638,58513,21070,9146.5
"Oct 02, 1998",207114,163574,152101,44478,43722,56406,23765,9325.7
"Oct 09, 1998",199486,156466,149284,44646,43722,61579,25606,9325.7
"Oct 16, 1998",201383,158994,147428,44436,43512,56343,24647,9325.7
"Oct 23, 1998",199734,158609,147214,44310,43512,56693,22351,9325.7
"Oct 30, 1998",200204,156994,145118,44100,43470,58520,25298,9325.7
"Nov 06, 1998",201825,158043,145151,44016,43428,57365,23639,9325.7
"Nov 13, 1998",206343,162754,145910,43554,43092,53977,24878,9325.7
"Nov 20, 1998",205683,162006,145268,43260,42504,58667,25879,9325.7
"Nov 27, 1998",205697,162060,147996,42630,42168,58191,20685,9325.7
